,Target Window,Target Window,Target Window,Target Window,Target Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window
,Start Date,Start Time,End Date,End Time,Total Mins,Start Date,Start Time,End Date,End Time,Total Time
115,2024-02-24,08:50:06,2024-02-24,09:39:17,49.18333333333333,2024-02-24,00:00:00,2024-02-24,00:00:00,0.0
116,2024-02-25,08:46:10,2024-02-25,09:35:21,49.18333333333333,2024-02-25,00:00:00,2024-02-25,00:00:00,0.0
117,2024-02-26,08:42:14,2024-02-26,09:31:25,49.18333333333333,2024-02-26,00:00:00,2024-02-26,00:00:00,0.0
118,2024-02-27,08:38:18,2024-02-27,09:27:29,49.18333333333333,2024-02-27,00:00:00,2024-02-27,00:00:00,0.0
119,2024-02-28,08:34:22,2024-02-28,09:23:33,49.18333333333333,2024-02-28,00:00:00,2024-02-28,00:00:00,0.0
120,2024-02-29,08:30:26,2024-02-29,09:19:37,49.18333333333333,2024-02-29,00:00:00,2024-02-29,00:00:00,0.0
121,2024-03-01,08:26:30,2024-03-01,09:15:41,49.18333333333333,2024-03-01,00:00:00,2024-03-01,00:00:00,0.0
122,2024-03-02,08:22:34,2024-03-02,09:11:46,49.2,2024-03-02,00:00:00,2024-03-02,00:00:00,0.0
123,2024-03-03,08:18:38,2024-03-03,09:07:50,49.2,2024-03-03,00:00:00,2024-03-03,00:00:00,0.0
124,2024-03-04,08:14:42,2024-03-04,09:03:54,49.2,2024-03-04,00:00:00,2024-03-04,00:00:00,0.0
125,2024-03-05,08:10:46,2024-03-05,08:59:58,49.2,2024-03-05,00:00:00,2024-03-05,00:00:00,0.0
126,2024-03-06,08:06:50,2024-03-06,08:56:02,49.2,2024-03-06,00:00:00,2024-03-06,00:00:00,0.0
127,2024-03-07,08:02:54,2024-03-07,08:52:06,49.2,2024-03-07,00:00:00,2024-03-07,00:00:00,0.0
128,2024-03-08,07:58:59,2024-03-08,08:48:10,49.18333333333333,2024-03-08,00:00:00,2024-03-08,00:00:00,0.0
129,2024-03-09,07:55:03,2024-03-09,08:44:14,49.18333333333333,2024-03-09,00:00:00,2024-03-09,00:00:00,0.0
130,2024-03-10,07:51:07,2024-03-10,08:40:18,49.18333333333333,2024-03-10,07:51:07,2024-03-10,08:40:18,49.18333333333333
131,2024-03-11,07:47:11,2024-03-11,08:36:22,49.18333333333333,2024-03-11,07:47:11,2024-03-11,08:36:22,49.18333333333333
132,2024-03-12,07:43:15,2024-03-12,08:32:26,49.18333333333333,2024-03-12,07:43:15,2024-03-12,08:32:26,49.18333333333333
133,2024-03-13,07:39:19,2024-03-13,08:28:30,49.18333333333333,2024-03-13,07:39:19,2024-03-13,08:28:30,49.18333333333333
134,2024-03-14,07:35:23,2024-03-14,08:24:34,49.18333333333333,2024-03-14,07:35:23,2024-03-14,08:24:34,49.18333333333333
135,2024-03-15,07:31:27,2024-03-15,08:20:38,49.18333333333333,2024-03-15,07:31:27,2024-03-15,08:20:38,49.18333333333333
136,2024-03-16,07:27:31,2024-03-16,08:16:43,49.2,2024-03-16,00:00:00,2024-03-16,00:00:00,0.0
137,2024-03-17,07:23:35,2024-03-17,08:12:47,49.2,2024-03-17,00:00:00,2024-03-17,00:00:00,0.0
138,2024-03-18,07:19:39,2024-03-18,08:08:51,49.2,2024-03-18,00:00:00,2024-03-18,00:00:00,0.0
139,2024-03-19,07:15:43,2024-03-19,08:04:55,49.2,2024-03-19,00:00:00,2024-03-19,00:00:00,0.0
