File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2025-09-24T07:55:56.482_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:57:56.482_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:59:55.993_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:01:56.482_0000.root, 1, 47, 95, 0
Merged_CoBo0_AsAd0_2025-09-24T08:03:56.483_0000.root, 1, 55, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:05:56.482_0000.root, 1, 51, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:07:56.482_0000.root, 1, 52, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:09:56.483_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:11:56.482_0000.root, 1, 55, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:13:56.482_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:15:56.483_0000.root, 1, 34, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:17:55.524_0000.root, 1, 44, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T08:19:55.814_0000.root, 1, 47, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T08:21:56.483_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:23:56.020_0000.root, 1, 69, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:25:56.165_0000.root, 1, 49, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T08:27:56.483_0000.root, 1, 34, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:29:56.097_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:31:56.483_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:33:55.853_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:35:56.268_0000.root, 1, 51, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:37:56.554_0000.root, 1, 55, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T08:39:56.011_0000.root, 1, 224, 18, 0
Merged_CoBo0_AsAd0_2025-09-24T08:41:55.905_0000.root, 1, 166, 6, 0
Merged_CoBo0_AsAd0_2025-09-24T08:43:55.802_0000.root, 1, 169, 5, 0
Merged_CoBo0_AsAd0_2025-09-24T08:45:56.484_0000.root, 1, 52, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T08:47:56.484_0000.root, 1, 60, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:49:56.484_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:51:56.484_0000.root, 1, 43, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:53:56.484_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:55:56.485_0000.root, 1, 41, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:57:56.485_0000.root, 1, 51, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T08:59:56.485_0000.root, 1, 38, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:01:56.485_0000.root, 1, 47, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T09:03:56.485_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:05:56.485_0000.root, 1, 35, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:07:56.485_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:09:55.925_0000.root, 1, 47, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:11:56.486_0000.root, 1, 43, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T09:13:56.485_0000.root, 1, 46, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:15:56.485_0000.root, 1, 48, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:17:56.486_0000.root, 1, 31, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:19:55.680_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:21:56.486_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:23:56.486_0000.root, 1, 30, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:25:56.486_0000.root, 1, 25, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:27:56.486_0000.root, 1, 47, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T09:29:55.796_0000.root, 1, 43, 97, 0
