Operation Mode 1: Normal
File Name, Test Events, HLED Events, Forced Events, Avg Rounded Bias Voltage, Max Current
Merged_CoBo0_AsAd0_2025-09-24T10:19:56.489_0000.root, 45, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:21:56.489_0000.root, 36, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:23:56.489_0000.root, 38, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:25:56.557_0000.root, 35, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:27:56.489_0000.root, 38, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:29:55.789_0000.root, 33, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:31:56.558_0000.root, 32, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:33:56.489_0000.root, 38, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:35:56.490_0000.root, 49, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:37:55.738_0000.root, 42, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:39:55.570_0000.root, 37, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:41:55.987_0000.root, 51, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:43:55.589_0000.root, 32, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:45:55.755_0000.root, 31, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:47:55.574_0000.root, 38, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:49:56.491_0000.root, 30, 96, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:51:55.989_0000.root, 40, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:53:56.491_0000.root, 43, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:55:56.491_0000.root, 28, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:57:56.492_0000.root, 33, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:59:56.491_0000.root, 41, 96, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T11:01:56.329_0000.root, 28, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T11:03:56.492_0000.root, 37, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T11:05:56.350_0000.root, 37, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:07:56.492_0000.root, 41, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:09:55.961_0000.root, 47, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:11:56.492_0000.root, 39, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:13:56.492_0000.root, 30, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:15:56.634_0000.root, 37, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:17:56.492_0000.root, 39, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:19:56.493_0000.root, 35, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:21:56.492_0000.root, 35, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:23:56.181_0000.root, 37, 96, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:25:56.493_0000.root, 33, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:27:56.493_0000.root, 44, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:29:55.743_0000.root, 30, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:31:56.493_0000.root, 32, 97, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:33:56.373_0000.root, 36, 96, 0, 44.0, 5.9
Merged_CoBo0_AsAd0_2025-09-24T11:35:55.807_0000.root, 45, 97, 0, 44.0, 5.8
