#Pixel #Amplitude(ADC/pe) #ErrAmplitude(ADC/pe) #Charge(ADC/pe) #ErrCharge(ADC/pe)
473 9.34296 0.21364 27.2585 0.618767
474 9.44265 0.19585 27.6253 0.58047
475 9.71456 0.232067 28.3616 0.679771
476 9.22596 0.206377 26.8387 0.596222
477 9.5037 0.227013 27.6235 0.66985
478 9.21737 0.215452 26.8268 0.632735
479 9.32444 0.231137 27.1575 0.679066
480 9.16348 0.200872 26.7992 0.566011
481 8.3982 0.12224 24.7729 0.36958
482 8.43311 0.168718 24.8236 0.486136
483 8.62384 0.161172 25.2593 0.455705
484 8.83784 0.160649 25.9862 0.457098
485 9.01169 0.16684 26.6141 0.487146
486 9.44362 0.201396 27.8458 0.578197
487 9.25777 0.184703 27.2841 0.529848
488 9.37771 0.176302 27.4287 0.506681
489 9.64433 0.19548 28.2715 0.561558
490 9.45838 0.187934 27.6947 0.534713
491 9.46983 0.185337 27.7431 0.534719
492 9.46631 0.184044 27.6097 0.51218
493 9.45888 0.177724 27.7265 0.513579
494 9.59854 0.178588 28.039 0.512905
495 9.55776 0.164702 27.962 0.471409
496 8.81045 0.16741 25.9167 0.483468
497 9.14855 0.168264 27 0.487506
498 9.17599 0.179651 27.0739 0.516627
499 8.96336 0.157782 26.4437 0.452024
500 8.75412 0.16707 25.8283 0.485788
501 8.62459 0.155378 25.3501 0.443393
502 8.67523 0.162194 25.6038 0.473478
503 8.50636 0.174406 24.982 0.496751
504 9.4122 0.171777 27.6157 0.496561
505 9.52716 0.172811 27.9383 0.499688
506 9.44263 0.156702 27.6606 0.449025
507 9.46365 0.153782 27.7242 0.446582
508 9.18552 0.164098 26.9727 0.473947
509 9.2369 0.161654 27.0879 0.465588
510 8.94172 0.157507 26.25 0.454443
511 9.04588 0.155265 26.55 0.448172
